EMP_OLD,FINCA_OLD,SECTOR_OLD,LOTE_OLD,EMP_NEW,FINCA_NEW,SECTOR_NEW,LOTE_NEW,DESC_CECO
41,408,0,0,86.0,5001.0,0.0,0.0,Finca Sanjon Xoluta
41,408,1,1,86.0,5001.0,1.0,1.0,Sector 1 - Lote 1
41,408,1,2,86.0,5001.0,1.0,2.0,Sector 1 - Lote 2
41,408,1,3,86.0,5001.0,1.0,3.0,Sector 1 - Lote 3
41,408,1,4,86.0,5001.0,1.0,4.0,Sector 1 - Lote 4
41,408,1,5,86.0,5001.0,1.0,5.0,Sector 1 - Lote 5
41,408,1,6,86.0,5001.0,1.0,6.0,Sector 1 - Lote 6
41,408,1,7,86.0,5001.0,1.0,7.0,Sector 1 - Lote 7
41,408,1,8,86.0,5001.0,1.0,8.0,Sector 1 - Lote 8
41,408,1,9,86.0,5001.0,1.0,9.0,Sector 1 - Lote 9
41,408,2,1,86.0,5001.0,2.0,1.0,Sector 2 - Lote 1
41,408,2,2,86.0,5001.0,2.0,2.0,Sector 2 - Lote 2
41,408,2,3,86.0,5001.0,2.0,3.0,Sector 2 - Lote 3
41,408,2,4,86.0,5001.0,2.0,4.0,Sector 2 - Lote 4
41,408,2,5,86.0,5001.0,2.0,5.0,Sector 2 - Lote 5
41,408,2,6,86.0,5001.0,2.0,6.0,Sector 2 - Lote 6
41,408,3,1,86.0,5001.0,3.0,1.0,Sector 3 - Lote 1
41,408,3,2,86.0,5001.0,3.0,2.0,Sector 3 - Lote 2
41,408,3,3,86.0,5001.0,3.0,3.0,Sector 3 - Lote 3
41,408,3,4,86.0,5001.0,3.0,4.0,Sector 3 - Lote 4
41,408,3,5,86.0,5001.0,3.0,5.0,Sector 3 - Lote 5
41,408,3,6,86.0,5001.0,3.0,6.0,Sector 3 - Lote 6
41,408,3,7,86.0,5001.0,3.0,7.0,Sector 3 - Lote 6
41,408,4,1,86.0,5001.0,4.0,1.0,Sector 4 - Lote 1
41,408,4,2,86.0,5001.0,4.0,2.0,Sector 4 - Lote 2
41,408,4,3,,,,,Desactivado
41,408,4,4,,,,,Desactivado
41,408,61,0,86.0,5001.0,61.0,0.0,Quineles
41,408,62,0,86.0,5001.0,62.0,0.0,Rondas
41,408,63,0,86.0,5001.0,63.0,0.0,Areas Improductivas
41,408,64,0,86.0,5001.0,64.0,0.0,Caminos
41,408,67,1,86.0,5001.0,67.0,1.0,Pozo 1 - Modulo 1 - Finca Sanjon Xoluta
