COD_FINCA,FINCA,REGION,ES_NUEVA
5001,Sanjon Xoluta,OCCIDENTE,False
5002,Mangrullo,OCCIDENTE,False
5003,La Cebera,OCCIDENTE,False
5004,La Loma,OCCIDENTE,False
5005,San Mauricio,OCCIDENTE,False
5006,Colombita,OCCIDENTE,False
5007,Campo Libre Reu I V,OCCIDENTE,False
5008,Maria Del Carmen I I,OCCIDENTE,False
5009,Providencia Reu I I,OCCIDENTE,False
5010,La Cuchilla I I,OCCIDENTE,False
5011,San Eduardo,OCCIDENTE,False
5012,Rastunya II,OCCIDENTE,True
5013,Santa Sofia,OCCIDENTE,True
5014,Nueva Colombita,OCCIDENTE,False
5015,Rosario Fernandez,OCCIDENTE,True
5016,Carmen Alejos,OCCIDENTE,True
5017,La Cuchilla B,OCCIDENTE,True
5018,Belgica,OCCIDENTE,True
5019,El Piñon,OCCIDENTE,True
5020,Hacienda Magdalena,OCCIDENTE,True
5030,Las Lagunas I I,OCCIDENTE CENTRO,False
5031,El Tigre,OCCIDENTE,False
